question,document
Can I create or update Kestra flows from ChatGPT-style prompts or with an AI assistant?,bfe5502c30
"Do tools like Claude Code, Codex, or Kestra CTL let me generate a workflow and send it to Kestra from my editor?",bfe5502c30
Why does ChatGPT sometimes make up Kestra YAML fields like bucket or name instead of the real ones?,93a3e8b98c
How can I tell if the Kestra flow YAML an AI generated is using the wrong plugin properties?,93a3e8b98c
What is the right way to write a GCS upload step in Kestra instead of using bucket and name?,93a3e8b98c
"For LoadFromGcs in Kestra, do I need projectId, dataset, and table or just destinationTable?",93a3e8b98c
How do I stop AI from giving me invalid Kestra plugin options and make sure the YAML matches my version?,93a3e8b98c
Why do we keep track of token usage in Kestra flows when calling LLMs?,a4adc70f41
Is token monitoring mostly about controlling API cost in scheduled or looping workflows?,a4adc70f41
How does checking prompt and response token counts help improve prompts?,a4adc70f41
Can token stats be used as a guardrail so a long-running flow doesn't rack up a huge bill?,a4adc70f41
"In a Kestra AI task, where does the token usage info usually come from and how can I display it?",a4adc70f41
"Why does Docker Desktop show ""mounts denied"" when I start Kestra, and how do I stop it from blocking a /tmp path?",dd8b4c9fda
What should I do if Docker says the host folder isn’t shared and my container won’t mount /tmp/kestra-wd?,dd8b4c9fda
How can I add /tmp to Docker Desktop so docker compose can bring up Kestra without that mount error?,dd8b4c9fda
Is there a fix for the Docker Desktop file sharing issue that prevents mounting paths like /tmp?,dd8b4c9fda
"After I change Docker Desktop settings, do I need to restart anything before running docker compose up -d again?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly should I upload to the public repo if most of the work was done in the Kestra UI?",f29f622684
"Do I need to submit the actual flow YAML files for the Kestra homework, or is a README with my answers enough?",f29f622684
"If I changed any scripts that my Kestra flows call, should those files go in the homework repo too?",f29f622684
"Where should I put the Kestra homework files in my repo, and does the repo need to be public for the submission form?",f29f622684
"In the Module 3 submission, do I paste my Q1/Q2 answers into the repo, or are those supposed to be entered somewhere else?",f29f622684
Why do I get `JSONDecodeError: Expecting value` when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How can I make the model return only valid JSON so `json.loads()` doesn’t break?,a3c7e1b4f9
"Should I use OpenAI `response_format` when generating questions, and what does the code look like?",a3c7e1b4f9
What exact prompt should I use to make sure the model outputs a JSON object with 5 questions and nothing else?,a3c7e1b4f9
"Does this JSON-only output trick work with other APIs too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth dataset?,b8f2d6a30c
Is there a lighter embedding model I can use if the notebook runs out of RAM?,b8f2d6a30c
"If I switch to a smaller embedder, do I need to run the evaluation again?",b8f2d6a30c
Can I move the embedding step out of the notebook to avoid memory issues?,b8f2d6a30c
What’s the best fix if I’m using Codespaces or a low-memory laptop and embeddings keep killing the kernel?,b8f2d6a30c
Why am I still getting rate-limited on Gemini even after adding a sleep between requests?,c1e9f4b820
What should I do if my long tqdm loop burns through the daily Gemini quota while building the ground-truth data?,c1e9f4b820
Is there a cheaper or easier API option I can use instead of Gemini for generating embeddings or answers?,c1e9f4b820
How can I avoid hitting request limits when I’m using a thread pool to call the model in parallel?,c1e9f4b820
What’s the best way to save my progress so I can continue from where the generation stopped after a rate-limit error?,c1e9f4b820
How do I fix the Windows error about torch\lib\fbgemm.dll not loading with WinError 126?,15e931476c
"On Windows, what should I install if Python says it can't find fbgemm.dll in the PyTorch folder?",15e931476c
"Why do I get ""The specified module could not be found"" when importing torch on Windows, and how can I solve it?",15e931476c
"Is installing Visual Studio Code enough for the fbgemm.dll / WinError 126 issue, or do I need something else?",15e931476c
What are the usual fixes for the PyTorch fbgemm.dll missing dependency error on Windows?,15e931476c
"How do I fix the psycopg2 OperationalError saying it can’t translate the host name ""postgres"" when I run `python prep.py`?",4b65d5542d
"What should I change in my `.env` file if Postgres host lookup fails with ""No such host is known""?",4b65d5542d
"Why am I getting a `could not translate host name ""postgres"" to address` error, and what host value should I use instead?",4b65d5542d
"When `prep.py` crashes with a psycopg2 host error, what do I set `POSTGRES_HOST` to?",4b65d5542d
Is there a quick fix for the `postgres` hostname error in the monitoring module setup?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off with ...?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the full Explanation from the judge LLM?",641aedbbf5
What setting do I need in Pandas to stop column text from being truncated at 50 characters?,641aedbbf5
How can I display the entire content of a long text column in a Pandas DataFrame?,641aedbbf5
Is there a way to set Pandas so a column shows unlimited text width?,641aedbbf5
How can I normalize each vector in a Pandas DataFrame column without writing a loop?,5039707c1a
What's the easiest way to turn every vector in a Pandas Series into a unit vector?,5039707c1a
Can I use apply with NumPy to normalize vectors stored in one DataFrame column?,5039707c1a
How do I create a new column with normalized versions of the vectors from an existing column?,5039707c1a
What’s a simple way to divide each vector by its norm in pandas?,5039707c1a
How can I get the 75th percentile of a Pandas column?,b4c8ac5a0c
What’s the Pandas way to calculate a quantile for a Series?,b4c8ac5a0c
How do I find the 0.75 quantile from a DataFrame column in Python?,b4c8ac5a0c
"In Pandas, what method returns a column’s percentile value?",b4c8ac5a0c
How do I compute a percentile on a DataFrame column using quantile()?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones still running?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I delete every Docker volume using the command line?,66ccbb7da0
"Is there a quick way to clean up all containers, images, and volumes in Docker from terminal commands?",66ccbb7da0
"What terminal commands should I use to fully reset Docker by removing all containers, images, and volumes?",66ccbb7da0
How can I make sure a user can only send feedback once per submitted answer in Streamlit?,2e729f1271
Why does `st.session.submitted` keep getting set back to `True` after I click a feedback button?,2e729f1271
"When I use an ask button in Streamlit, how do I disable the feedback buttons unless the submission is active?",2e729f1271
Is there a known fix for `st.session.submitted` being reassigned even after one of the feedback buttons is pressed?,2e729f1271
Where can I find the solution for the Streamlit session attribute issue with feedback buttons and submission state?,2e729f1271
"Why do I get exec: ""streamlit"": executable file not found in $PATH when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What should I check first if docker-compose fails to run my Streamlit container with an OCI runtime create failed error?,e8df9f0d12
Do I need a Dockerfile for a Streamlit app to run properly in docker-compose?,e8df9f0d12
How can I fix the container startup error saying streamlit isn't found in the PATH?,e8df9f0d12
"After changing my docker-compose setup for Streamlit, what command should I use to rebuild and launch everything again?",e8df9f0d12
"Is the capstone project supposed to be done alone, or can we work in a team?",0fab61eca2
Can I discuss the project idea with other students and still submit my own version?,0fab61eca2
"If two people build one system together, is that allowed for the capstone?",0fab61eca2
Do we need separate repos and separate parts if we collaborate on the same project idea?,0fab61eca2
What happens if the project work can’t be checked separately for each person?,0fab61eca2
"Do I have to submit two capstone projects, or is one project enough for the course?",d5fc98925d
What does attempt 1 and attempt 2 mean in the capstone submission process?,d5fc98925d
"If my first submission doesn’t pass, can I fix the project and send it again later?",d5fc98925d
"Can I submit two projects just for practice, and if so do they need different datasets and problem statements?",d5fc98925d
"If I miss the attempt 1 deadline, can I still submit in attempt 2 and keep up with the course?",d5fc98925d
"Can I use the competition as my capstone project, or are they separate?",e892d44e42
"If I join the math-kaggle-llm-competition, does that replace the capstone requirement?",e892d44e42
Is the capstone supposed to be done individually even if I participate in the competition with a team?,e892d44e42
"Can students team up for the capstone, or is only the competition allowed to be a group effort?",e892d44e42
"Does taking part in the competition count toward the capstone, or do I still need to do an individual capstone attempt?",e892d44e42
"How are capstone projects graded in this course, and who does the grading?",9a2e2d2008
Will my project be reviewed by other students or by the instructors?,9a2e2d2008
"How many peer reviews will my capstone project get, and how is the final score calculated?",9a2e2d2008
"Do I also have to grade other students’ projects, and what happens if I skip that?",9a2e2d2008
What rules or criteria are used when evaluating the capstone project?,9a2e2d2008
"After the submission deadline, how do project reviews get assigned to each participant?",eae0fb50aa
Will we get a list or spreadsheet with the projects we need to grade after the deadline?,eae0fb50aa
How many capstone projects will each participant be responsible for reviewing?,eae0fb50aa
Is the project assignment for grading shared only once the submission period is over?,eae0fb50aa
What happens after the capstone submission deadline in terms of review assignments?,eae0fb50aa
"I already turned in my capstone project, so why am I still not able to review other projects?",a8a7fef016
"After the submission deadline passes, how do project reviews get assigned in this course?",a8a7fef016
"Can I pick which capstone projects I want to evaluate, or is that handled automatically?",a8a7fef016
Why don’t I see any projects available to review yet after submitting mine?,a8a7fef016
Do I have to wait until the project list is released before I can start reviewing?,a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a GitHub page with suggestions for datasets I can use in the project?,e76a70cde3
How do I find some good ideas for the capstone project in this course?,e76a70cde3
"Can you point me to a page with project ideas, datasets, and a few guidelines?",e76a70cde3
What’s the best place to check for tips and possible datasets for the project?,e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone project ingestion pipeline, or is a simple Python script enough?",d4f7c08ea1
"Can I use a Jupyter notebook instead of an orchestration tool for the capstone, and will it still count fully?",d4f7c08ea1
How many points do I get if I build the ingestion pipeline as a notebook rather than a plain Python script?,d4f7c08ea1
"Should I include an orchestrator in my capstone just to satisfy the project rubric, or only when it really makes sense?",d4f7c08ea1
What’s the best choice for recurring data ingestion in the capstone if my data source updates every day?,d4f7c08ea1
How can I evaluate a recommender-style RAG project when I don’t have obvious ground-truth Q&A pairs?,9b0e2d6a47
What’s a good way to create synthetic test queries for each item so I can measure retrieval quality?,9b0e2d6a47
"If I want to compare ranking quality, should I use hit rate, MRR, or NDCG for this kind of RAG setup?",9b0e2d6a47
How do I use an LLM as a judge to score the end-to-end results of my RAG system?,9b0e2d6a47
"When a recommender has multiple acceptable matches, why might NDCG be better than just checking whether the top result is correct?",9b0e2d6a47
How should I chunk a huge PDF corpus for my RAG project without overthinking the chunker first?,6f2a8b3d10
"Is it okay to start with plain fixed-size chunks and some overlap, then test on a small labeled set?",6f2a8b3d10
Would it make sense to let an LLM split docs into sections instead of only using raw token chunks?,6f2a8b3d10
"Should I add short summaries to each chunk to help retrieval, and does that actually improve search?",6f2a8b3d10
"For legal or financial documents, do I need hybrid search with BM25 plus vectors so exact wording doesn't get lost?",6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys?",e5d8a2c761
Do I have to put my OpenAI or other service keys in the repo so someone can run my project?,e5d8a2c761
How should I let a reviewer rebuild the search index from scratch on their own machine?,e5d8a2c761
"Should I include a .env file with real credentials, or just something like .env.example?",e5d8a2c761
What should I pin or document so the setup works the same on another computer?,e5d8a2c761
"Can I do the homework in JavaScript, or is Python required for this course?",ea815eb858
"For the capstone project, am I allowed to use Go, Rust, Java, or another non-Python stack?",ea815eb858
"If I build my assignment in TypeScript instead of Python, what do I need to include so the reviewer can run it?",ea815eb858
"Does the course expect Python for every homework and the final project, or is using another language okay sometimes?",ea815eb858
"If I choose a language other than Python, how detailed should my README and setup instructions be for Windows, macOS, and Linux?",ea815eb858
Where do I check out past LLM Zoomcamp capstone projects?,930286278d
Is there a page with 2024 LLM Zoomcamp project submissions?,930286278d
Can I see the 2025 projects from LLM Zoomcamp somewhere?,930286278d
Where can I browse submitted capstone repos from previous LLM Zoomcamp cohorts?,930286278d
Do you have links to earlier LLM Zoomcamp project examples so I can judge the scope?,930286278d
Do I need to announce my capstone project idea before I start it?,897a350476
Is there any need to reserve a project topic for the LLM Zoomcamp capstone?,897a350476
Can I just begin the project without telling anyone first?,897a350476
"If I want feedback on my project idea, where should I ask?",897a350476
"Is it okay if my capstone topic is similar to a previous project, or does it have to be totally unique?",897a350476
Can I build my capstone as a Telegram bot or WhatsApp bot instead of a web app?,7318a90b14
Are there any rules about what kind of interface I should use for the project?,7318a90b14
"Would a CLI, Slack app, or notebook also count as a valid way to present the capstone?",7318a90b14
Does the course require me to make the project available through a website only?,7318a90b14
"Will the course show how to build the interface, or do I need to handle that part myself?",7318a90b14
What tool should I use to pull text out of PDFs for my RAG app?,d8b28c47a0
"If my PDFs are scanned images with no text layer, how can I extract the text?",d8b28c47a0
Is there a recommended library for turning PDFs into Markdown or JSON for RAG?,d8b28c47a0
Can I use a hosted OCR API instead of running OCR locally for document extraction?,d8b28c47a0
Which document extraction tool works best if I have mixed file types and layouts?,d8b28c47a0
"Can I use the workshop content in my own capstone project, since dlt is open-source?",d850a0e7ea
Is it okay to take the materials from this workshop and apply them to other Zoomcamp projects too?,d850a0e7ea
"Can I reuse this workshop’s content for a different project outside the course, or is it only for the workshop itself?",d850a0e7ea
"If I’m working on the MLOps Zoomcamp project, can I use dlt from this workshop there as well?",d850a0e7ea
Am I allowed to ask questions about the workshop and use the tools directly in my own project?,d850a0e7ea
How do I initialize a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to start a dlt filesystem-to-duckdb setup?,6bceeebf04
Is there a quick way to create a fresh dlt project for cloud loading?,6bceeebf04
How can I get a dlt project ready when the source is a filesystem and the destination is DuckDB?,6bceeebf04
What’s the init command for a new dlt project using filesystem and duckdb?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
"What should I check if `db.open_table(""notion_pages___homework"")` throws a FileNotFoundError saying the table doesn't exist?",0407213397
"I renamed the table to `notion_pages___homework`, but it still fails to open — what am I missing?",0407213397
How do I fix the `open_table` error for `notion_pages___homework` in the dlt workshop pipeline?,0407213397
Could this error mean I forgot to replace some `employee_handbook` values with `homework` in my pipeline config?,0407213397
"Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main(), and what should I change in line 3?",e95bfafc0e
"In the dlt workshop, if db says the table notion_pages___homework doesn’t exist, how do I open the right one?",e95bfafc0e
"I keep seeing an error that asks me to call db.create_table(notion_pages___homework, data) first — is there a table name I should use instead?",e95bfafc0e
What is the correct code for line 3 when working with notion_pages___homework in this homework?,e95bfafc0e
My main() fails because the table isn’t found. Which table should I open so the Notion pages pipeline works?,e95bfafc0e
How can I check what tables exist in the database?,e394e6f738
Is there a way to list all tables in my db with dlt?,e394e6f738
Which method should I call to see the table names?,e394e6f738
How do I find out the tables that were created in the database?,e394e6f738
What’s the easiest way to print all table names from the db?,e394e6f738
"Does DLT already support ClickHouse or StarRocks connectors, or are those missing for now?",cd19f122f3
"Can I use DLT with ClickHouse or StarRocks right now, or is there no official connector yet?",cd19f122f3
"Is there any built-in connector in DLT for ClickHouse and StarRocks, or would I need to add one myself?",cd19f122f3
"Are ClickHouse and StarRocks supported by DLT, and if not, is the project open to community contributions for them?",cd19f122f3
"Has anyone built DLT connectors for ClickHouse or StarRocks yet, or does DLT still not include them?",cd19f122f3
"Why am I getting a 401 Unauthorized when the notebook tries to call the Notion search API, and what should I check first?",0dfba07ace
My notebook says it doesn’t have secret access to api.notion.com/v1/search — could this be an API key or permissions issue?,0dfba07ace
How do I fix a Notion API authorization error in the dlt workshop notebook?,0dfba07ace
"If my Notion token stopped working, what steps should I take to get the notebook working again?",0dfba07ace
"What are the most common reasons a notebook fails with a Notion API 401 error, and how can I verify the setup?",0dfba07ace
"Why does my install keep pulling requests 2.28 instead of the 2.32 version lancedb wants, and how do I force the newer one?",4b30b918bc
Is there a pip command to install requests straight from GitHub so I can get v2.32.3?,4b30b918bc
"I’m getting a 401 Client Error during this setup — could that mean my key doesn’t have access, or the key is wrong?",4b30b918bc
What’s the exact install line for requests if pip refuses to grab the version I need from PyPI?,4b30b918bc
How can I manually install requests v2.32.3 from the source zip during the workshop?,4b30b918bc
